name,handle_or_url,category,birth_year,platform,known_for,source_list
Rex Orange County,https://en.wikipedia.org/wiki/Rex_Orange_County,Music artist,1998,YouTube/SoundCloud,UK bedroom-pop; Tyler the Creator collaboration,
24kGoldn,https://en.wikipedia.org/wiki/24kGoldn,Music artist,2000,TikTok/Internet,Mood TikTok viral hit; Billboard #1,
Jack Harlow,https://en.wikipedia.org/wiki/Jack_Harlow,Music artist,1998,YouTube/Internet,Whats Poppin TikTok viral; mainstream rap crossover,
Roddy Ricch,https://en.wikipedia.org/wiki/Roddy_Ricch,Music artist,1998,YouTube/SoundCloud,The Box TikTok viral; Grammy winner,
PinkPantheress,https://en.wikipedia.org/wiki/PinkPantheress,Music artist,2001,TikTok,TikTok-produced bedroom-pop; sample-driven viral hits,
Tate McRae,https://en.wikipedia.org/wiki/Tate_McRae,Music artist,2003,YouTube/TikTok,you broke me first viral; dancer turned pop star,
Olivia Rodrigo,https://en.wikipedia.org/wiki/Olivia_Rodrigo,Music artist,2003,Internet/TikTok,drivers license viral; TikTok-driven debut album,
Conan Gray,https://en.wikipedia.org/wiki/Conan_Gray,Music artist,1998,YouTube,YouTube vlog-turned-pop star; Heather TikTok hit,
Lauv,https://en.wikipedia.org/wiki/Lauv,Music artist,1994,SoundCloud/Spotify,I Like Me Better; streaming-era pop breakout,
Powfu,https://en.wikipedia.org/wiki/Powfu,Music artist,1999,TikTok/SoundCloud,Death Bed TikTok viral; lo-fi bedroom pop,
Cavetown,https://en.wikipedia.org/wiki/Cavetown_(musician),Music artist,1998,YouTube,Trans bedroom-pop; Boys Will Be Bugs; YouTube-built following,
Girl in Red,https://en.wikipedia.org/wiki/Girl_in_Red,Music artist,1999,YouTube/Bandcamp,Norwegian queer bedroom-pop; internet cult following,
beabadoobee,https://en.wikipedia.org/wiki/Beabadoobee,Music artist,2000,YouTube,Coffee viral; Filipino-British indie; TikTok-driven,
Steve Lacy,https://en.wikipedia.org/wiki/Steve_Lacy_(musician),Music artist,1998,Internet,Bad Habit TikTok #1; Internet Money producer,
Daniel Caesar,https://en.wikipedia.org/wiki/Daniel_Caesar,Music artist,1995,SoundCloud/YouTube,Best Part; Grammy winner; internet-built R&B,
Brent Faiyaz,https://en.wikipedia.org/wiki/Brent_Faiyaz,Music artist,1995,SoundCloud/Internet,Sonder; R&B internet breakout,
Khalid,https://en.wikipedia.org/wiki/Khalid_(singer),Music artist,1998,SoundCloud/Internet,Location viral; Grammy-nominated; teen debut,
H.E.R.,https://en.wikipedia.org/wiki/H.E.R.,Music artist,1997,YouTube/Internet,YouTube-built R&B; Grammy and Oscar winner,
Summer Walker,https://en.wikipedia.org/wiki/Summer_Walker,Music artist,1996,Internet/Streaming,Streaming-era R&B; Girls Need Love viral,
Megan Thee Stallion,https://en.wikipedia.org/wiki/Megan_Thee_Stallion,Music artist,1995,YouTube/Internet,Hot Girl Summer; TikTok-driven; Grammy winner,
Tinashe,https://en.wikipedia.org/wiki/Tinashe,Music artist,1993,YouTube/Internet,YouTube covers; R&B pop; 2 On breakout,
Kehlani,https://en.wikipedia.org/wiki/Kehlani,Music artist,1995,YouTube/SoundCloud,SoundCloud R&B; You Should Be Here mixtape,
Jorja Smith,https://en.wikipedia.org/wiki/Jorja_Smith,Music artist,1997,YouTube/SoundCloud,UK R&B; Drake co-sign; internet-built,
Ella Mai,https://en.wikipedia.org/wiki/Ella_Mai,Music artist,1994,Internet/Streaming,Boo'd Up viral; Grammy winner,
Normani,https://en.wikipedia.org/wiki/Normani,Music artist,1996,Internet/TV,Fifth Harmony; solo TikTok-driven hits,
Camila Cabello,https://en.wikipedia.org/wiki/Camila_Cabello,Music artist,1997,Internet/TV,Fifth Harmony; Havana TikTok viral solo breakout,
Dua Lipa,https://en.wikipedia.org/wiki/Dua_Lipa,Music artist,1995,YouTube/Streaming,YouTube covers; streaming-era pop star; Grammy winner,
Ava Max,https://en.wikipedia.org/wiki/Ava_Max,Music artist,1993,YouTube/Streaming,Sweet but Psycho; streaming-era pop,
Kim Petras,https://en.wikipedia.org/wiki/Kim_Petras,Music artist,1992,YouTube/Internet,Trans pop artist; Unholy Grammy winner,
Troye Sivan,https://en.wikipedia.org/wiki/Troye_Sivan,Music artist,1995,YouTube,YouTube vlogger turned pop star; Blue Neighbourhood,
Joji,https://en.wikipedia.org/wiki/Joji_(musician),Music artist,1992,YouTube,Filthy Frank / Pink Guy; transition to alt-R&B music,
DDG,https://en.wikipedia.org/wiki/DDG_(rapper),Music artist,1997,YouTube,YouTube vlog-turned-rapper; streaming hits,
6ix9ine,https://en.wikipedia.org/wiki/6ix9ine,Music artist,1996,Internet/YouTube,Controversial rapper; viral internet presence,
Lil Pump,https://en.wikipedia.org/wiki/Lil_Pump,Music artist,2000,SoundCloud/YouTube,Gucci Gang SoundCloud viral; SoundCloud rap era,
Smokepurpp,https://en.wikipedia.org/wiki/Smokepurpp,Music artist,1997,SoundCloud,SoundCloud rap; early breakout,
Ski Mask the Slump God,https://en.wikipedia.org/wiki/Ski_Mask_the_Slump_God,Music artist,1996,SoundCloud,SoundCloud rap; XXXTentacion collaborator,
XXXTentacion,https://en.wikipedia.org/wiki/XXXTentacion,Music artist,1998,SoundCloud,SoundCloud rap icon; Look at Me viral; posthumous legacy,
Juice WRLD,https://en.wikipedia.org/wiki/Juice_WRLD,Music artist,1998,SoundCloud,Lucid Dreams SoundCloud viral; emo-rap pioneer,
Lil Peep,https://en.wikipedia.org/wiki/Lil_Peep,Music artist,1996,SoundCloud,Emo-rap pioneer; SoundCloud cult following,
Trippie Redd,https://en.wikipedia.org/wiki/Trippie_Redd,Music artist,1999,SoundCloud,SoundCloud rap; Love Scars viral,
Polo G,https://en.wikipedia.org/wiki/Polo_G,Music artist,1999,YouTube/Internet,Pop Out viral; Chicago rap; Billboard #1,
NLE Choppa,https://en.wikipedia.org/wiki/NLE_Choppa,Music artist,2002,YouTube/Internet,Shotta Flow viral at 16; Memphis rap,
Baby Keem,https://en.wikipedia.org/wiki/Baby_Keem,Music artist,2000,Internet/Streaming,Family Ties; Grammy winner; Kendrick cousin,
Yeat,https://en.wikipedia.org/wiki/Yeat,Music artist,2002,TikTok/Internet,TikTok-driven rap; underground-to-mainstream,
Playboi Carti,https://en.wikipedia.org/wiki/Playboi_Carti,Music artist,1996,SoundCloud/Internet,SoundCloud rap; Magnolia; cult following,
Lil Uzi Vert,https://en.wikipedia.org/wiki/Lil_Uzi_Vert,Music artist,1994,SoundCloud,SoundCloud rap; XO TOUR Llif3 viral; Grammy nominated,
21 Savage,https://en.wikipedia.org/wiki/21_Savage,Music artist,1992,Internet/YouTube,Atlanta rap; Bank Account; internet-built following,
Gunna,https://en.wikipedia.org/wiki/Gunna,Music artist,1993,Internet/Streaming,Drip Too Hard; streaming-era rap,
Lil Baby,https://en.wikipedia.org/wiki/Lil_Baby,Music artist,1994,Internet/Streaming,Drip Too Hard; Grammy nominated; streaming-era rap,
Yung Lean,https://en.wikipedia.org/wiki/Yung_Lean,Music artist,1996,YouTube/SoundCloud,Ginseng Strip 2002 viral; sad boys; internet cult icon,
Bladee,https://en.wikipedia.org/wiki/Bladee,Music artist,1994,SoundCloud/Internet,Drain Gang; hyperpop pioneer; internet cult following,
Sheck Wes,https://en.wikipedia.org/wiki/Sheck_Wes,Music artist,1998,Internet/Streaming,Mo Bamba viral; Travis Scott co-sign,
Rina Sawayama,https://en.wikipedia.org/wiki/Rina_Sawayama,Music artist,1990,YouTube/Internet,Internet-built pop; SAWAYAMA; critical acclaim,
Arlo Parks,https://en.wikipedia.org/wiki/Arlo_Parks,Music artist,2000,Internet/Streaming,UK poet-pop; Mercury Prize; internet-built,
Declan McKenna,https://en.wikipedia.org/wiki/Declan_McKenna,Music artist,1998,YouTube,Brazil YouTube viral; indie pop; Glastonbury,
Omar Apollo,https://en.wikipedia.org/wiki/Omar_Apollo,Music artist,1997,YouTube/Streaming,Internet-built bilingual indie-pop; Grammy nominated,
SZA,https://en.wikipedia.org/wiki/SZA,Music artist,1989,Internet/Streaming,TDE; Ctrl; streaming-era R&B; Grammy winner,
Madison Beer,https://en.wikipedia.org/wiki/Madison_Beer,Music artist,1999,YouTube/Instagram,YouTube covers; Justin Bieber co-sign; TikTok presence,
JVKE,https://en.wikipedia.org/wiki/JVKE,Music artist,2001,TikTok,Golden Hour TikTok viral; internet-built pop,
Salem Ilese,https://en.wikipedia.org/wiki/Salem_Ilese,Music artist,2000,TikTok,Mad at Disney TikTok viral; songwriter,
GAYLE,https://en.wikipedia.org/wiki/GAYLE,Music artist,2004,TikTok,abcdefu TikTok viral; teen pop breakout,
Mae Muller,https://en.wikipedia.org/wiki/Mae_Muller,Music artist,1997,Internet/Streaming,UK pop; Eurovision; streaming-era,
mxmtoon,https://en.wikipedia.org/wiki/mxmtoon,Music artist,2000,YouTube/TikTok,Bedroom pop; TikTok presence; indie,
Gus Dapperton,https://en.wikipedia.org/wiki/Gus_Dapperton,Music artist,1997,YouTube/Internet,Indie pop; internet-built; aesthetic icon,
Sub Urban,https://en.wikipedia.org/wiki/Sub_Urban,Music artist,1999,TikTok,Cradles TikTok viral; dark alt-pop,
Ruel,https://en.wikipedia.org/wiki/Ruel_(singer),Music artist,2002,YouTube/Internet,Australian teen pop; YouTube; streaming,
Lana Rhoades,https://en.wikipedia.org/wiki/Lana_Rhoades,Adult content creator,1996,Internet/OnlyFans,Adult film star turned social media personality; podcast,
Riley Reid,https://en.wikipedia.org/wiki/Riley_Reid,Adult content creator,1991,Internet,Adult film star; AVN awards; mainstream crossover,
Mia Malkova,https://en.wikipedia.org/wiki/Mia_Malkova,Adult content creator,1992,Internet,Adult film star; Twitch streamer; mainstream crossover,
Sasha Grey,https://en.wikipedia.org/wiki/Sasha_Grey,Adult content creator,1988,Internet,Adult film star turned mainstream actress; author; DJ,
Stoya,https://en.wikipedia.org/wiki/Stoya,Adult content creator,1986,Internet,Adult film star; writer; mainstream crossover,
Tori Black,https://en.wikipedia.org/wiki/Tori_Black,Adult content creator,1988,Internet,Adult film star; AVN Hall of Fame; mainstream crossover,
Asa Akira,https://en.wikipedia.org/wiki/Asa_Akira,Adult content creator,1986,Internet,Adult film star; author; podcast host,
Bree Olson,https://en.wikipedia.org/wiki/Bree_Olson,Adult content creator,1986,Internet,Adult film star; mainstream media appearances,
Dani Daniels,https://en.wikipedia.org/wiki/Dani_Daniels,Adult content creator,1989,Internet,Adult film star; artist; podcast host,
Christy Mack,https://en.wikipedia.org/wiki/Christy_Mack,Adult content creator,1991,Internet,Adult film star; model; tattoo icon,
Bonnie Rotten,https://en.wikipedia.org/wiki/Bonnie_Rotten,Adult content creator,1993,Internet,Adult film star; AVN awards; producer,
Alex Cooper,https://en.wikipedia.org/wiki/Alexandra_Cooper_(podcaster),Podcaster,1994,Podcast,Call Her Daddy; largest female podcast; Spotify deal,
Cody Ko,https://en.wikipedia.org/wiki/Cody_Ko,Content creator/Podcaster,1990,YouTube/Podcast,Comedy commentary; Tiny Meat Gang podcast,
Noel Miller,https://en.wikipedia.org/wiki/Noel_Miller,Content creator/Podcaster,1989,YouTube/Podcast,Comedy commentary; Tiny Meat Gang; music,
Danny Gonzalez,https://en.wikipedia.org/wiki/Danny_Gonzalez,Content creator,1994,YouTube,Comedy commentary; Vine alum; music parodies,
Drew Gooden,https://en.wikipedia.org/wiki/Drew_Gooden,Content creator,1993,YouTube,Comedy commentary; Vine alum,
Kurtis Conner,https://en.wikipedia.org/wiki/Kurtis_Conner,Content creator,1994,YouTube,Comedy commentary; Vine alum,
Michael Reeves,https://en.wikipedia.org/wiki/Michael_Reeves,Content creator,1997,YouTube,Tech/comedy content; OfflineTV member,
Sommer Ray,https://en.wikipedia.org/wiki/Sommer_Ray,Instagram influencer,1996,Instagram,Fitness model; massive Instagram following; brand empire,
JoJo Siwa,https://en.wikipedia.org/wiki/JoJo_Siwa,Content creator,2003,YouTube/TV,Dance Moms; YouTube personality; music; brand empire,
Maddie Ziegler,https://en.wikipedia.org/wiki/Maddie_Ziegler,Content creator,2002,YouTube/TV,Dance Moms star; Sia music videos; actress,
Mackenzie Ziegler,https://en.wikipedia.org/wiki/Mackenzie_Ziegler,Content creator,2004,YouTube/TV,Dance Moms; music career; social media,
Chloe Lukasiak,https://en.wikipedia.org/wiki/Chloe_Lukasiak,Content creator,2001,YouTube/TV,Dance Moms; actress; YouTube,
Bhad Bhabie,https://en.wikipedia.org/wiki/Bhad_Bhabie,Content creator,2003,Internet/TV,Cash me outside meme; rap career; OnlyFans millionaire,
Millie Bobby Brown,https://en.wikipedia.org/wiki/Millie_Bobby_Brown,Digital-native celebrity,2004,Netflix/Instagram,Stranger Things; social media; producer,
Finn Wolfhard,https://en.wikipedia.org/wiki/Finn_Wolfhard,Digital-native celebrity,2002,Netflix/Instagram,Stranger Things; social media; music,
Jenna Ortega,https://en.wikipedia.org/wiki/Jenna_Ortega,Digital-native celebrity,2002,Disney/Instagram,Disney Channel; Wednesday; social media following,
Zendaya,https://en.wikipedia.org/wiki/Zendaya,Digital-native celebrity,1996,Disney/Instagram,Disney Channel; Euphoria; social media icon,
Tom Holland,https://en.wikipedia.org/wiki/Tom_Holland,Digital-native celebrity,1996,Instagram/Internet,Spider-Man; massive social media following,
Timothée Chalamet,https://en.wikipedia.org/wiki/Timoth%C3%A9e_Chalamet,Digital-native celebrity,1995,Instagram/Internet,Call Me By Your Name; social media heartthrob,
Anya Taylor-Joy,https://en.wikipedia.org/wiki/Anya_Taylor-Joy,Digital-native celebrity,1996,Netflix/Instagram,Queen's Gambit; social media viral moment,
Jacob Elordi,https://en.wikipedia.org/wiki/Jacob_Elordi,Digital-native celebrity,1997,Instagram/Internet,Euphoria; social media following,
Sydney Sweeney,https://en.wikipedia.org/wiki/Sydney_Sweeney,Digital-native celebrity,1997,HBO/Instagram,Euphoria; social media icon,
Skai Jackson,https://en.wikipedia.org/wiki/Skai_Jackson,Digital-native celebrity,2002,Disney/Instagram,Disney Channel; social media; author,
Peyton List,"https://en.wikipedia.org/wiki/Peyton_List_(actress,_born_1998)",Digital-native celebrity,1998,Disney/Instagram,Disney Channel; Jessie; social media following,
dev1ce,https://en.wikipedia.org/wiki/Dev1ce,Esports,1995,CS:GO/CS2,4x Major champion with Astralis; 2x Major MVP; 19x HLTV Top 20; one of greatest CS players ever,esports_pros
m0NESY,https://en.wikipedia.org/wiki/M0NESY,Esports,2005,CS2,HLTV 2022 Rookie of the Year; 4x HLTV Top 20 (#2 in 2024); 11x HLTV MVP; Major champion,esports_pros
donk,https://en.wikipedia.org/wiki/Donk_(esports),Esports,2007,CS2,Youngest-ever HLTV Player of the Year at 17; CS2 Major winner Shanghai 2024; HLTV Major MVP,esports_pros
Yatoro,https://liquipedia.net/dota2/Yatoro,Esports,2003,Dota 2,"2x The International champion (TI10 2021, TI12 2023); legendary carry player for Team Spirit",esports_pros
aspas,https://liquipedia.net/valorant/Aspas,Esports,2003,Valorant,VCT Champions 2022 winner with LOUD; Champions 2022 MVP; considered best duelist in Valorant,esports_pros
Demon1,https://liquipedia.net/valorant/Demon1,Esports,2002,Valorant,VCT Champions 2023 winner with Evil Geniuses; top fragger at Champions,esports_pros
Jojopyun,https://liquipedia.net/leagueoflegends/Jojopyun,Esports,2002,League of Legends,Youngest player in LCS history at debut; LCS champion with Evil Geniuses 2022,esports_pros
Danny,https://liquipedia.net/leagueoflegends/Danny,Esports,2003,League of Legends,LCS champion with Evil Geniuses; one of youngest pro LoL players in NA,esports_pros
Humanoid,https://liquipedia.net/leagueoflegends/Humanoid,Esports,2000,League of Legends,LEC champion; Worlds semifinalist with MAD Lions; top mid-laner in EU,esports_pros
yay,https://liquipedia.net/valorant/Yay,Esports,1999,Valorant,VCT Masters champion; considered best Valorant player in 2022; OpTic Gaming star,esports_pros
cNed,https://liquipedia.net/valorant/Cned,Esports,2001,Valorant,VCT Champions 2021 winner with Acend; Champions 2021 MVP; Turkish Valorant star,esports_pros
Derke,https://liquipedia.net/valorant/Derke,Esports,2002,Valorant,VCT Masters champion with Fnatic; multiple international titles; top duelist,esports_pros
Less,https://liquipedia.net/valorant/Less,Esports,2003,Valorant,VCT Champions 2022 winner with LOUD; youngest Champions winner; top initiator,esports_pros
pANcada,https://liquipedia.net/valorant/PANcada,Esports,2002,Valorant,VCT Champions 2022 winner with LOUD; VCT Masters Copenhagen champion,esports_pros
Collapse,https://liquipedia.net/dota2/Collapse,Esports,2001,Dota 2,"2x The International champion (TI10, TI12) with Team Spirit; legendary off-laner",esports_pros
TORONTOTOKYO,https://liquipedia.net/dota2/Torontotokyo,Esports,2001,Dota 2,The International 10 champion with Team Spirit; known for unconventional playstyle,esports_pros
Ropz,https://en.wikipedia.org/wiki/Ropz,Esports,1999,CS:GO/CS2,Multiple HLTV Top 20 appearances; Major champion with FaZe; Estonian CS star,esports_pros
broky,https://liquipedia.net/counterstrike/Broky,Esports,2001,CS:GO/CS2,HLTV Top 20 player; Major champion with FaZe Clan; Latvian CS2 star,esports_pros
Ax1Le,https://liquipedia.net/counterstrike/Ax1Le,Esports,2002,CS:GO/CS2,HLTV Top 20 player; multiple MVP awards with Cloud9/Natus Vincere; Russian CS star,esports_pros
sh1ro,https://liquipedia.net/counterstrike/Sh1ro,Esports,2001,CS:GO/CS2,HLTV Top 20 player; Major champion with Team Spirit; top AWPer,esports_pros
b1t,https://liquipedia.net/counterstrike/B1t,Esports,2003,CS:GO/CS2,Major champion with Natus Vincere (PGL Stockholm 2021); HLTV Top 20; youngest Major MVP,esports_pros
Zeus,https://liquipedia.net/leagueoflegends/Zeus,Esports,2003,League of Legends,"LoL World Champion with T1 (2023,2024); LCK champion; youngest Worlds winner",esports_pros
Oner,https://liquipedia.net/leagueoflegends/Oner,Esports,2002,League of Legends,"LoL World Champion with T1 (2023,2024,2025); LCK champion; star jungler",esports_pros
Ruler,https://liquipedia.net/leagueoflegends/Ruler,Esports,1999,League of Legends,LoL World Champion 2017 with Samsung Galaxy; Worlds MVP; LCK champion; LPL champion,esports_pros
Knight,https://liquipedia.net/leagueoflegends/Knight,Esports,2000,League of Legends,LPL champion; Worlds semifinalist; one of best mid-laners in China,esports_pros
369,https://liquipedia.net/leagueoflegends/369,Esports,2001,League of Legends,LPL champion; Worlds semifinalist with JDG; top laner,esports_pros
Bin,https://liquipedia.net/leagueoflegends/Bin,Esports,2002,League of Legends,LPL champion; Worlds finalist with Suning/Bilibili Gaming; top laner,esports_pros
Wei,https://liquipedia.net/leagueoflegends/Wei_(LoL),Esports,2002,League of Legends,LPL champion with RNG; MSI champion; star jungler,esports_pros
GALA,https://liquipedia.net/leagueoflegends/GALA,Esports,2001,League of Legends,MSI champion with RNG; LPL champion; star AD carry,esports_pros
Tian,https://liquipedia.net/leagueoflegends/Tian,Esports,2000,League of Legends,LoL World Champion 2019 with FPX; Worlds MVP; LPL champion,esports_pros
Crisp,https://liquipedia.net/leagueoflegends/Crisp,Esports,1998,League of Legends,LoL World Champion 2019 with FPX; LPL champion; support player,esports_pros
Lwx,https://liquipedia.net/leagueoflegends/Lwx,Esports,1998,League of Legends,LoL World Champion 2019 with FPX; LPL champion; AD carry,esports_pros
Doinb,https://liquipedia.net/leagueoflegends/Doinb,Esports,1996,League of Legends,LoL World Champion 2019 with FPX; LPL champion; known for unique playstyle,esports_pros
Nuguri,https://liquipedia.net/leagueoflegends/Nuguri,Esports,1999,League of Legends,LoL World Champion 2020 with DWG KIA; LCK champion; top laner,esports_pros
Ghost,https://liquipedia.net/leagueoflegends/Ghost,Esports,1999,League of Legends,LoL World Champion 2020 with DWG KIA; LCK champion; AD carry,esports_pros
Jynxzi,https://en.wikipedia.org/wiki/Jynxzi,Streamer/Content Creator,2001,Twitch/YouTube,8th most-subscribed Twitch streamer; 10.2M Twitch followers; 6.5M YouTube subs; Best Breakthrough Streamer 2023,streamers_content_creators
iiTzTimmy,https://en.wikipedia.org/wiki/IiTzTimmy,Streamer/Content Creator,2000,Twitch,Pro Apex Legends player turned streamer; Streamer Awards Gamer of the Year; large Twitch following,streamers_content_creators
MrBeast,https://en.wikipedia.org/wiki/Mr_Beast,Streamer/Content Creator,1998,YouTube,"508M YouTube subscribers (most-subscribed); 129M TikTok followers; founder of Beast Industries, Feastables, Lunchly",streamers_content_creators
Ryan Trahan,https://en.wikipedia.org/wiki/Ryan_Trahan,Streamer/Content Creator,1998,YouTube,23.5M YouTube subscribers; 6.3B views; penny series; raised $11M for St. Jude,streamers_content_creators
TheGrefg,https://en.wikipedia.org/wiki/TheGrefg,Streamer/Content Creator,1997,Twitch/YouTube,19M YouTube subscribers; 12M Twitch followers; Guinness World Record most concurrent Twitch viewers (2.4M); Forbes 30U30 Europe 2025,forbes_30u30;streamers_content_creators
Ludwig,https://en.wikipedia.org/wiki/Ludwig_Ahgren,Streamer/Content Creator,1995,Twitch/YouTube,Mogul Money creator; subathon record holder; Streamer of the Year 2022; large YouTube following,streamers_content_creators
Philza,https://en.wikipedia.org/wiki/Philza,Streamer/Content Creator,1998,Twitch/YouTube,Minecraft hardcore mode legend; Dream SMP member; millions of Twitch followers,streamers_content_creators
BadBoyHalo,https://en.wikipedia.org/wiki/BadBoyHalo,Streamer/Content Creator,1995,YouTube/Twitch,Dream SMP member; Minecraft content creator; millions of YouTube subscribers,streamers_content_creators
Drew Afualo,https://www.forbes.com/profile/drew-afualo/,Streamer/Content Creator,1995,TikTok,9M TikTok followers; best-selling memoir; Forbes 30 Under 30 2025 Social Media; podcast host,forbes_30u30;streamers_content_creators
Bobbi Althoff,https://www.forbes.com/profile/bobbi-althoff/,Streamer/Content Creator,1997,TikTok/YouTube,13M social media followers; The Really Good Podcast; Forbes 30 Under 30 2025 Media,forbes_30u30;streamers_content_creators
Jake Shane,https://en.wikipedia.org/wiki/Jake_Shane,Streamer/Content Creator,1999,TikTok/Instagram,Millions of followers; sold-out live theater performances; Forbes Top Creators 2025,streamers_content_creators
Alan Chikin Chow,https://en.wikipedia.org/wiki/Alan_Chikin_Chow,Streamer/Content Creator,1996,YouTube/TikTok,Runs own production studio; Forbes Top Creators 2025; millions of followers across platforms,streamers_content_creators
Dhar Mann,https://en.wikipedia.org/wiki/Dhar_Mann,Streamer/Content Creator,1995,YouTube,Runs own production studio; billions of YouTube views; Forbes Top Creators 2025,streamers_content_creators
Enola Bedard,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,2000,TikTok/YouTube,Forbes 30 Under 30 2025 Social Media; content creator with large following,forbes_30u30;streamers_content_creators
Joe Ando-Hirsh,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,1998,TikTok/YouTube,Forbes 30 Under 30 2025 Social Media; content creator,forbes_30u30;streamers_content_creators
Ian Boggs,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,1998,Instagram,Forbes 30 Under 30 2025 Social Media; creator with large Instagram following,forbes_30u30;streamers_content_creators
Joel Bervell,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,1995,TikTok/Instagram,Forbes 30 Under 30 2025 Social Media; medical equity advocate and content creator,forbes_30u30;streamers_content_creators
Meredith Duxbury,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,1999,TikTok,Forbes 30 Under 30 2025 Social Media; beauty and fashion content creator,forbes_30u30;streamers_content_creators
Toni Bravo,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,2000,TikTok,Forbes 30 Under 30 2025 Social Media; content creator,forbes_30u30;streamers_content_creators
Demi Guo,https://www.forbes.com/profile/demi-guo/,AI/Tech Founder,1998,Web,Co-founder Pika (AI video generation); $135M raised; $470M valuation; 5M users; Forbes 30U30 2025 AI,forbes_30u30
Chenlin Meng,https://www.forbes.com/profile/chenlin-meng/,AI/Tech Founder,1997,Web,Co-founder Pika (AI video generation); $135M raised; $470M valuation; Forbes 30U30 2025 AI,forbes_30u30
Aidan Gomez,https://www.forbes.com/profile/aidan-gomez/,AI/Tech Founder,1996,Web,"Co-founder Cohere; $970M backed; AI chatbots for Oracle, Notion; Forbes 30U30 2025 AI",forbes_30u30
Molly Cantillon,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2003,Web,Founder NOX; Forbes 30 Under 30 2025 youngest at age 21,forbes_30u30
Vignesh Karthik,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2004,Web,Co-founder Anthrogen; Forbes 30 Under 30 2025 youngest at age 20,forbes_30u30
Connor Lee,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2004,Web,Co-founder Anthrogen; Forbes 30 Under 30 2025 youngest at age 20,forbes_30u30
Ankit Singhal,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2004,Web,Co-founder Anthrogen; Forbes 30 Under 30 2025 youngest at age 20,forbes_30u30
Emily Cho,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2006,Web,Founder Juvie for STEM; Forbes 30 Under 30 2025 youngest at age 18,forbes_30u30
Matt Shumer,https://www.forbes.com/profile/matt-shumer/,AI/Tech Founder,2000,Web,Co-founder Otherside AI/HyperWrite; AI agent for browser automation; 2M users; Forbes 30U30 2024 Consumer Tech,forbes_30u30
Jason Kuperberg,https://www.forbes.com/profile/jason-kuperberg/,AI/Tech Founder,1996,Web,Co-founder Otherside AI/HyperWrite; Forbes 30U30 2024 Consumer Tech,forbes_30u30
Vladimir Danila,https://www.forbes.com/30-under-30/2024/europe/technology/,AI/Tech Founder,2000,Web,"Founder Linearity (design platform); $20M funding; clients include Apple, Disney, Meta, Microsoft; Forbes 30U30 Europe 2024",forbes_30u30
Ed Beccle,https://www.forbes.com/30-under-30/2022/europe/technology/,AI/Tech Founder,1998,Web,"Co-founder Glorify (prayer app); 4M subscribers; $84M raised from a16z, SoftBank; Thiel Fellow; Forbes 30U30 Europe 2022",forbes_30u30
Fabian Kamberi,https://www.forbes.com/30-under-30/2025/europe/,AI/Tech Founder,1999,Web,Founder Slay (game Pengu); 10M users; $20M raised from Accel; Forbes 30U30 Europe 2025,forbes_30u30
Frederic Boesel,https://www.forbes.com/30-under-30/2025/europe/technology/,AI/Tech Founder,1996,Web,Co-founder Black Forest Labs (AI image gen); $31M seed from a16z; integrated into Mistral AI; Forbes 30U30 Europe 2025,forbes_30u30
Jonas Muller,https://www.forbes.com/30-under-30/2025/europe/technology/,AI/Tech Founder,1996,Web,Co-founder Black Forest Labs (AI image gen); $31M seed from a16z; Forbes 30U30 Europe 2025,forbes_30u30
Risa Feng,https://www.forbes.com/30-under-30/2022/asia/consumer-technology/,AI/Tech Founder,1995,Web,Co-founder BUD (metaverse app); Forbes 30U30 Asia 2022 Consumer Tech,forbes_30u30
Daniel Hanover,https://www.forbes.com/30-under-30/2023/enterprise-technology/,AI/Tech Founder,1997,Web,Co-founder Dandy (dentistry software); 700 employees; Forbes 30U30 2023 Enterprise Tech,forbes_30u30
Toni Oloko,https://www.forbes.com/30-under-30/2023/enterprise-technology/,AI/Tech Founder,1996,Web,Co-founder Dandy (dentistry software); 700 employees; Forbes 30U30 2023 Enterprise Tech,forbes_30u30
Jeremy Zhang,https://www.forbes.com/profile/jeremy-zhang/,AI/Tech Founder,1997,Web,Co-founder Finch (HR/payroll tools); $19M raised; YC alum; Forbes 30U30 2023 Enterprise Tech,forbes_30u30;yc_founders
Akshaya Dinesh,https://www.forbes.com/30-under-30/2023/enterprise-technology/,AI/Tech Founder,2001,Web,Founder Spellbound (interactive email); Thiel Fellow; Forbes 30U30 2023 Enterprise Tech youngest,forbes_30u30
Zara Perumal,https://www.forbes.com/profile/zara-perumal/,AI/Tech Founder,2000,Web,Co-founder Overwatch Data (AI risk detection); $2.3M raised; ex-Google ML; Forbes 30U30 2023 Enterprise Tech,forbes_30u30
